id,PositionTitle,Designation,Agency,Locations,VacancyType,Vacancy6MonthsOrLess,EmploymentCategory,NumberOfVacancies,NumberOfVacancies Several ,NumberOfApplicants,NumberOfSuccessfulApplicants
187613,Project Support Officer ,ADMINISTRATIVE OFFICER 4,Department of Corporate and Digital Development ,Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Accounting and Finance, Information and Communication Technology (ICT)",1,,65,1
187621,District Administrative Officer,ADMINISTRATIVE OFFICER 3,Department of Health,Alice Springs,Fixed (Temporary) - Full Time,,Administration and Business Services,1,,30,1
187638,Executive Assistant,ADMINISTRATIVE OFFICER 4,Department of Education,Darwin,Fixed (Temporary) - Full Time,YES,"Administration and Business Services, Accounting and Finance, Information and Records Management",1,,10,1
187639,Senior Ranger,TECHNICAL 3 - RDO,"Department of Tourism, Sport and Culture",Darwin,Ongoing (Permanent) - Full Time,,"Environment, Natural Resources and Conservation, Tourism and Culture",1,,11,1
187649,Patient Care Assistant,PHYSICAL 3,Department of Health,Nhulunbuy,Casual,,"Allied Health and Health Care Services, Medical",,Several,28,0
187658,2021 Graduate Program,GRADUATE TRAINEES,Department of the Chief Minister and Cabinet,Darwin,Fixed (Temporary) - Full Time,,"Accounting and Finance, Administration and Business Services, Environment, Natural Resources and Conservation, Legal, Science, Traineeship, Cadetship and Graduate Programs, Program and Project Management",,Several,1175,28
187659,Project Manager,SENIOR ADMINISTRATIVE OFFICER 1,Department of Corporate and Digital Development ,Darwin,Fixed (Temporary) - Full Time,,"Program and Project Management, Information and Communication Technology (ICT)",1,,25,1
187661,Director Sector Development,SENIOR ADMINISTRATIVE OFFICER 2,"Department of Tourism, Sport and Culture",Darwin,Ongoing (Permanent) - Full Time,,"Tourism and Culture, Administration and Business Services",1,,11,1
187662,Team Leader,ADMINISTRATIVE OFFICER 7,Department of the Attorney-General and Justice,Tennant Creek,Ongoing (Permanent) - Full Time,,"Probation and Parole Officer, Prison Services, Administration and Business Services",1,,7,0
187672,Technical Coordinator Mechanical,PWC TECHNICAL COORDINATOR,Power and Water Corporation,Darwin,Ongoing (Permanent) - Full Time,,"Trades, Maintenance and Services",1,,62,1
187673,Senior Specialist Mental Health Worker,PROFESSIONAL 3,Department of Health,Darwin,Fixed (Temporary) - Full Time,YES,"Allied Health and Health Care Services, Medical",1,,2,0
187684,Classroom Teacher – Biology and Maths Senior Years,CLASSROOM TEACHER,Department of Education,Katherine,Fixed (Temporary) - Full Time,,Education and Training,1,,4,0
187685,Principal,EXECUTIVE CONTRACT PRINCIPAL LEVEL 2,Department of Education,Alyangula,Fixed (Temporary) - Full Time,,Education and Training,1,,11,1
187690,Director Media and Communications,SENIOR ADMINISTRATIVE OFFICER 2,"Department of Industry, Tourism and Trade",Darwin,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Communication, Media and Public Relations, Program and Project Management",1,,18,1
187692,Clinical Nurse Specialist,NURSE LEVEL 3 RDO,Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,Nursing and Midwifery,1,,6,1
187695,Business Analyst - Transition ,ADMINISTRATIVE OFFICER 6,Department of Health,Darwin,Fixed (Temporary) - Full Time,YES,"Administration and Business Services, Accounting and Finance, Allied Health and Health Care Services",1,,18,1
187705,Senior WorkSafe Officer,ADMINISTRATIVE OFFICER 5,Department of the Attorney-General and Justice,Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Legal",1,,22,0
187711,Community Work Coordinator,ADMINISTRATIVE OFFICER 5,Department of the Attorney-General and Justice,Alice Springs,Ongoing (Permanent) - Full Time,,"Community Services, Legal, Administration and Business Services",1,,17,1
187714,Manager Financial Accounting,SENIOR ADMINISTRATIVE OFFICER 1,Department of Trade Business and Innovation,Darwin,Ongoing (Permanent) - Full Time,,"Accounting and Finance, Information and Records Management",1,,28,1
187716,Station Officer,STATION OFFICER,"NT Police, Fire and Emergency Services",Nhulunbuy,Ongoing (Permanent) - Full Time,,"Police, Fire and Emergency Workers",1,,0,0
187719,Leading Firefighter,LEADING FIREFIGHTER(QUALIFIED),"NT Police, Fire and Emergency Services",Katherine,Ongoing (Permanent) - Full Time,,"Police, Fire and Emergency Workers",1,,0,0
187721,Senior Manager - Central Mobility Unit,SENIOR ADMINISTRATIVE OFFICER 1,Department of Education,Darwin,Fixed (Temporary) - Full Time,,Education and Training,1,,3,0
187725,Child Family Health Nurse,NURSE LEVEL 3,Department of Health,Palmerston,Ongoing (Permanent) - Full Time,,"Nursing and Midwifery, Allied Health and Health Care Services, Medical",1,,19,1
187732,Procurement Advisor,ADMINISTRATIVE OFFICER 5,"Department of Infrastructure, Planning and Logistics",Palmerston,Fixed (Temporary) - Full Time,,"Procurement, Grants and Contract Management, Administration and Business Services",1,,20,0
187736,Audits and Investigations Officer,ADMINISTRATIVE OFFICER 5,"Department of Infrastructure, Planning and Logistics",Darwin,Ongoing (Permanent) - Full Time,,Administration and Business Services,1,,27,1
187740,Workforce Training Coordinator ,ADMINISTRATIVE OFFICER 6,Department of Health,"Alyangula, Nhulunbuy",Fixed (Temporary) - Full Time,,"Education and Training, Nursing and Midwifery, Allied Health and Health Care Services",1,,11,1
187743,Senior Teacher,SENIOR TEACHER 1,Department of Education,Palmerston,Fixed (Temporary) - Full Time,YES,Education and Training,1,,2,0
187753,Administration Officer,ADMINISTRATIVE OFFICER 3,Department of Education,Katherine,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Accounting and Finance",1,,45,1
187756,Project Officer,ADMINISTRATIVE OFFICER 5,Department of Corporate and Digital Development ,Darwin,Fixed (Temporary) - Full Time,YES,"Information and Communication Technology (ICT), Program and Project Management",1,,25,1
187764,Station Officer – OIC  Tennant Creek,STATION OFFICER,"NT Police, Fire and Emergency Services",Tennant Creek,Ongoing (Permanent) - Full Time,,"Police, Fire and Emergency Workers",1,,0,0
187765,Records Officer,ADMINISTRATIVE OFFICER 4,Department of Corporate and Digital Development ,Darwin,Fixed (Temporary) - Full Time,YES,"Information and Records Management, Administration and Business Services",1,,70,0
187766,MAX Officer,ADMINISTRATIVE OFFICER 5,"Department of Industry, Tourism and Trade",Darwin,Fixed (Temporary) - Full Time,,"Information and Communication Technology (ICT), Administration and Business Services",1,,0,0
187772,Community Engagement Officer,ADMINISTRATIVE OFFICER 5,"Department of Tourism, Sport and Culture",Darwin,Ongoing (Permanent) - Full Time,,"Communication, Media and Public Relations, Administration and Business Services",1,,75,1
187775,Student Systems Support Coordinator,ADMINISTRATIVE OFFICER 6,Department of Corporate and Digital Development ,Darwin,Ongoing (Permanent) - Full Time,,"Information and Communication Technology (ICT), Administration and Business Services",1,,32,1
187783,Mentor,ADMINISTRATIVE OFFICER 5,Department of Education,Darwin,Fixed (Temporary) - Full Time,,"Education and Training, Administration and Business Services",1,,35,1
187788,Meter Data Provision Officer ,PWC BAND 1 ADMIN CORPORATE SERVICES FT,Power and Water Corporation,Darwin,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Program and Project Management, Information and Records Management",3,,109,3
187791,Fellow / Senior Registrar / Registrar - ICU,"FELLOW FEL1, REGISTRAR REG1-REG6, SENIOR REGISTRAR SREG1-SREG2",Department of Health,Darwin,Fixed (Temporary) - Full Time,,"Medical, Allied Health and Health Care Services",,Several,16,0
187802,Executive Two-Way Learning,SENIOR TEACHER 1,Department of Education,Lajamanu (Hooker Ck),Fixed (Temporary) - Full Time,,Education and Training,1,,1,0
187810,"Team Leader, Territory Business Centre ",ADMINISTRATIVE OFFICER 4,"Department of Industry, Tourism and Trade",Alice Springs,Ongoing (Permanent) - Full Time,,Administration and Business Services,1,,15,1
187813,Assistant Principal,SENIOR TEACHER 3,Department of Education,Darwin,Ongoing (Permanent) - Full Time,,Education and Training,1,,11,1
187817,Senior Specialist Clinician / Specialist Clinician,"SPECIALIST CLINICIAN, SENIOR SPECIALIST CLINICIAN",Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,"Medical, Allied Health and Health Care Services",1,,8,1
187822,Planning Officer,ADMINISTRATIVE OFFICER 5,"NT Police, Fire and Emergency Services",Alice Springs,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Police, Fire and Emergency Workers",1,,16,1
187823,Information and Knowledge Manager,ADMINISTRATIVE OFFICER 7,Department of Corporate and Digital Development ,Darwin,Fixed (Temporary) - Full Time,,"Information and Records Management, Administration and Business Services",1,,10,0
187825,Senior Teacher,SENIOR TEACHER 1,Department of Education,Darwin,Fixed (Temporary) - Full Time,YES,Education and Training,1,,11,1
187828,Principal,EXECUTIVE CONTRACT PRINCIPAL LEVEL 5,Department of Education,Palmerston,Fixed (Temporary) - Full Time,,Education and Training,1,,8,0
187829,Principal,EXECUTIVE CONTRACT PRINCIPAL LEVEL 3,Department of Education,Darwin,Fixed (Temporary) - Full Time,,"Education and Training, Executive and Senior Management",1,,5,1
187830,Principal,EXECUTIVE CONTRACT PRINCIPAL LEVEL 4,Department of Education,Palmerston,Fixed (Temporary) - Full Time,,"Education and Training, Executive and Senior Management",1,,2,1
187842,Families as First Teachers Family Liaison Officer,ADMINISTRATIVE OFFICER 4 92%,Department of Education,Minyerri,Fixed (Temporary) - Part Time,,"Education and Training, Administration and Business Services",1,,1,0
187844,Speech Pathologist,PROFESSIONAL 2,Department of Health,"Darwin, Palmerston",Fixed (Temporary) - Full Time,,"Allied Health and Health Care Services, Medical",1,,4,1
187846,Risk and Resilience Analyst (Risk),PWC BAND 3 ADMIN CORPORATE SERVICES FT,Power and Water Corporation,Darwin,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Accounting and Finance, Legal",1,,15,1
187851,Assistant Principal Primary and School Operations,SENIOR TEACHER 3,Department of Education,Maningrida,Fixed (Temporary) - Full Time,,Education and Training,1,,8,0
187852,Integrated Services Leader  ,SENIOR ADMINISTRATIVE OFFICER 1,Department of Education,Maningrida,Fixed (Temporary) - Full Time,,Education and Training,1,,3,1
187854,Housing Officer,ADMINISTRATIVE OFFICER 4,"Department of Territory Families, Housing and Communities",Alice Springs,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Community Services",1,,45,1
187858,Assistant Principal,SENIOR TEACHER 3,Department of Education,Darwin,Ongoing (Permanent) - Full Time,,Education and Training,2,,9,2
187859,Primary Health Care Manager,NURSE LEVEL 5 RDO,Department of Health,"Hermannsburg/Ntaria, Maryvale (Titjikala)",Ongoing (Permanent) - Full Time,,"Nursing and Midwifery, Allied Health and Health Care Services, Medical",2,,7,1
187860,Primary Health Care Manager,NURSE LEVEL 5 RDO,Department of Health,"Canteen Ck-Orwatjlla, Haasts Bluff-Ikuntji, Lk Nash-Alpurrurulam, Maryvale (Titjikala), Mt Allen (Yuelamu)",Ongoing (Permanent) - Full Time,,"Nursing and Midwifery, Allied Health and Health Care Services, Medical",5,,0,0
187862,Property Contract Officer,TECHNICAL 5,"Department of Territory Families, Housing and Communities",Darwin,Ongoing (Permanent) - Full Time,,"Procurement, Grants and Contract Management, Program and Project Management, Trades, Maintenance and Services",1,,27,1
187865,Theatre Technician,TECHNICAL 1,Department of Health,Katherine,Ongoing (Permanent) - Full Time,,Nursing and Midwifery,1,,4,0
187868,Project Administrator,ADMINISTRATIVE OFFICER 4,"Department of Infrastructure, Planning and Logistics",Palmerston,Fixed (Temporary) - Full Time,,"Accounting and Finance, Administration and Business Services, Procurement, Grants and Contract Management, Program and Project Management",1,,47,1
187872,Head of Campus,SENIOR TEACHER 4,Department of Education,Alice Springs,Fixed (Temporary) - Full Time,YES,Education and Training,1,,3,1
187873,Regional Project Support Officer,ADMINISTRATIVE OFFICER 5,Department of the Chief Minister and Cabinet,Katherine,Fixed (Temporary) - Full Time,,Administration and Business Services,1,,14,1
187874,Finance and Administration Officer,ADMINISTRATIVE OFFICER 3,Department of the Attorney-General and Justice,Nhulunbuy,Ongoing (Permanent) - Full Time,,"Accounting and Finance, Administration and Business Services, Prison Services",1,,30,1
187880,Drama Classroom Teacher,CLASSROOM TEACHER,Department of Education,Darwin,Fixed (Temporary) - Full Time,YES,Education and Training,1,,5,0
187890,Special Education Support Officer,ADMINISTRATIVE OFFICER 4 96%,Department of Education,Darwin,Ongoing (Permanent) - Full Time,,Education and Training,,Several,0,0
187894,"Ear, Nose and Throat Senior Hospital Medical Officer",SENIOR HOSPITAL MEDICAL OFFICER SHMO1-2,Department of Health,Darwin,Fixed (Temporary) - Full Time,,"Medical, Allied Health and Health Care Services",1,,6,0
187897,Special Education Support Officer,ADMINISTRATIVE OFFICER 4 96%,Department of Education,Darwin,Ongoing (Permanent) - Full Time,,Education and Training,,Several,0,0
187901,Special Education Support Officer,ADMINISTRATIVE OFFICER 4 96%,Department of Education,Darwin,Fixed (Temporary) - Full Time,,Education and Training,,Several,0,0
187908,Enrolled Mental Health Nurse,NURSE 1 RDO,Department of Health,Alice Springs,Fixed (Temporary) - Full Time,YES,"Nursing and Midwifery, Allied Health and Health Care Services, Medical",2,,5,0
187910,Clinical Nurse Specialist (Adult Mental Health),NURSE LEVEL 4 RDO,Department of Health,Darwin,Ongoing (Permanent) - Full Time,,"Nursing and Midwifery, Medical",1,,4,0
187914,Technical Writer,PWC BAND 2 ADMIN CORPORATE SERVICES FT,Power and Water Corporation,Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Engineering, Traineeship, Cadetship and Graduate Programs",1,,32,1
187919,Case Support Worker,ADMINISTRATIVE OFFICER 3,Territory Families,Alice Springs,Ongoing (Permanent) - Full Time,,"Child Protection, Community Services, Administration and Business Services",1,,38,1
187929,Park Ranger,TECHNICAL 1 - RDO,"Department of Tourism, Sport and Culture",Batchelor,Ongoing (Permanent) - Full Time,,"Environment, Natural Resources and Conservation, Tourism and Culture, Trades, Maintenance and Services",1,,48,0
187934,Operations Support Officer,ADMINISTRATIVE OFFICER 3,"NT Police, Fire and Emergency Services",Alice Springs,Fixed (Temporary) - Full Time,YES,"Administration and Business Services, Police, Fire and Emergency Workers",1,,27,1
187941,Faculty Coordinator – Supported Learning,SENIOR TEACHER 1,Department of Education,Darwin,Ongoing (Permanent) - Full Time,,Education and Training,1,,6,1
